timestamp,open,high,low,close,volume
2024-04-15,187.425,188.69,183,183,47552905
2024-04-16,183.27,184.83,182.26,183.32,31692585
2024-04-17,184.31,120.57,179.82,181.28,30149541
2024-04-18,181.47,182.39,178.65,179.17,29543212
2024-04-19,178.74,119,173.44,174.63,52407852
2024-04-22,176.94,108.87,174.56,177.23,33386175
2024-04-23,178.08,179.93,175.975,179.54,35883580
2024-04-24,179.94,180.323,176.18,176.59,30778495
2024-04-25,169.68,103.92,166.32,173.67,43771453
2024-04-26,177.795,180.82,176.13,179.62,41078401
2024-04-29,182.75,183.53,179.39,180.96,51426683
